source,outlet_type,title,date,url,article_text,word_count,scraped_at,processed_text,processed_word_count
ghana news agency,state-owned (wire),From dawn to dusk: Echoes from the 2024 Election,,https://gna.org.gh/2025/12/from-dawn-to-dusk-echoes-from-the-2024-election/,"A GNA Feature by Nii Martey M. Botchway Accra, Dec. 8, GNA – A year ago, on December 7, 2024, millions of Ghanaians rose before sunrise with a sole mission to make their voices count and their thumbs speak in the general election organised by the Electoral Commission. From coastal towns to northern communities, long queues formed outside polling centres as the electorate; young and old, stood shoulder-to-shoulder in a shared sense of purpose. It was a familiar national moment, yet one Ghanaians never take lightly. Confidence and anxiety walked together as voters whispered prayers, election officers cross-checked details, and polling agents took their places as guardians of the people’s will. Democracy had called again, and the people responded, not only with faith, but with determination. As sunlight spread across the country, the atmosphere shifted from tension to excitement. Ink-stained fingers became silent badges of honour. Some voters stood for hours, fuelled by hope that their ballot would reset the nation’s path. Others believed theirs would affirm continuity. A People’s Victory The real test began when the polls closed. Ballots were counted deep into the night, with some under phone lights and lanterns. Slowly and transparently, under the watchful eyes of party representatives, each ballot paper was unfolded. Each one a story of trust, expectation, possibility and hope. The night of December 7, into the dawn and dusk of December 8, became a defining moment shaped not only by voters but also by those who defended the transparency of the process, and members of the Fourth Estate who kept the nation informed from start to finish. Behind the scenes, strategy teams, party executives and communications officers worked tirelessly to ensure that no voice was subverted or suppressed. They countered schemes, monitored processes, and protected the integrity of the vote. A Mandate for Change For many, the 2024 general election was more than a contest for political power. It was a test of trust, a chance to rebalance governance, and an opportunity to reshape the Legislature in particular. It was a dual agenda – change and continuity- summed up in the competing slogans “Resetting” by the National Democratic Congress (NDC) and “It’s Possible” by the New Patriotic Party (NPP). In the end, the people spoke with their thumbs. They chose “Resetting”, a promise to rebuild a Ghana that works for all and not just a privileged few. A year on, President John Dramani Mahama, who was elected and sworn-in, said in his statement to the nation that the promise still stands. Resetting Ghana, he noted, remained central to his administration’s mission. The mandate, he stressed, was not political rhetoric but “a promise in progress” aimed at restoring hope, expanding opportunities and strengthening institutions. The President described December 7, 2024, as a vivid reminder of the faith of millions who stood ready to reclaim Ghana’s future. “That belief was not accidental. It was built on a promise of a fairer, more inclusive nation,” he said. He acknowledged the role of the NDC polling agents, the party’s “own referees”, who, he said, stood as the eyes and ears of the nation, protecting the integrity of every vote. The Heartbeat of Democracy At the heart of the President’s message was gratitude: to every voter who trusted in the ballot, to loyalists who kept faith, and to families who stood together through uncertainty. Their reward, he reminded supporters, lies not in quick appointments or positions, but in the long-term transformation of a nation where justice prevails and hard work leads to success. The Dawn Will Come Again The election of December 7, and the days that followed, were more than a political contest. They were a reawakening of national will. One year on, Ghanaians still remember the suspense, the unity, and the collective belief that their vote could shape tomorrow. Democracy may not be perfect, but that day proved its power when citizens stand as one. Those memories continue to chart the path ahead. As the President reflects with determination, the journey remains long, but the direction is clear. The work goes on as Ghanaians look towards another December 7, in 2028, to decide once again the future of the nation. A future still in the people’s hands, built from dawn to dusk, one thumb, one decision at a time. GNA Edited by Agnes Boye-Doe 8 Dec. 2025",723,2026-03-30 22:48:59.410040,gna feature nii martey botchway accra dec gna ago december millions ghanaians rose sunrise sole mission make voices count thumbs speak general election organised electoral commission coastal towns northern communities long queues formed outside polling centres electorate young old stood shoulder shoulder shared sense purpose familiar national moment yet ghanaians never take lightly confidence anxiety walked together voters whispered prayers election officers cross checked details polling agents took places guardians people democracy called people responded faith determination sunlight spread across country atmosphere shifted tension excitement ink stained fingers became silent badges honour voters stood hours fuelled hope ballot reset nation path others believed affirm continuity people victory real test began polls closed ballots counted deep night phone lights lanterns slowly transparently watchful eyes party representatives ballot paper unfolded story trust expectation possibility hope night december dawn dusk december became defining moment shaped voters defended transparency process members fourth estate kept nation informed start finish behind scenes strategy teams party executives communications officers worked tirelessly ensure voice subverted suppressed countered schemes monitored processes protected integrity vote mandate change general election contest political power test trust chance rebalance governance opportunity reshape legislature particular dual agenda change continuity summed competing slogans resetting national democratic congress ndc possible patriotic party npp end people spoke thumbs chose resetting promise rebuild ghana works privileged president john dramani mahama elected sworn statement nation promise stands resetting ghana noted remained central administration mission mandate stressed political rhetoric promise progress aimed restoring hope expanding opportunities strengthening institutions president described december vivid reminder faith millions stood ready reclaim ghana future belief accidental built promise fairer inclusive nation acknowledged role ndc polling agents party referees stood eyes ears nation protecting integrity vote heartbeat democracy heart president message gratitude voter trusted ballot loyalists kept faith families stood together uncertainty reward reminded supporters lies quick appointments positions long term transformation nation justice prevails hard work leads success dawn come election december days followed political contest reawakening national ghanaians remember suspense unity collective belief vote shape tomorrow democracy perfect day proved power citizens stand memories continue chart path ahead president reflects determination journey remains long direction clear work goes ghanaians look towards another december decide future nation future people hands built dawn dusk thumb decision time gna edited agnes boye doe dec,378
ghana news agency,state-owned (wire),From Dawn to Dusk: Memories from the 2024 election,,https://gna.org.gh/2025/12/from-dawn-to-dusk-memories-from-the-2024-election/,"A Photo Story by Nii Martey M. Botchway Accra, Dec. 7, GNA – A year ago, on December 7, 2024, eligible Ghanaian voters went to the polls to elect a President, and Members of Parliament across the 275 constituencies in the country. From coastal towns to northern communities, long queues stretched outside polling centres as citizens, young and old, stood shoulder-to-shoulder with a shared sense of purpose and responsibility. It was a moment where confidence and anxiety walked hand-in-hand as voters whispered prayers, election officers checked every detail, and polling agents took their positions like guardians of the people’s will. Democracy had called again and the people responded. However, it wasn’t only the people that responded. The Ghana News Agency (GNA), responded too. From the first click at the Police Station where election materials had been kept, to the last click where the President elect gave his victory speech, the GNA was present, capturing every moment. GNA",157,2026-03-30 22:49:01.858991,photo story nii martey botchway accra dec gna ago december eligible ghanaian voters went polls elect president members parliament across constituencies country coastal towns northern communities long queues stretched outside polling centres citizens young old stood shoulder shoulder shared sense purpose responsibility moment confidence anxiety walked hand hand voters whispered prayers election officers checked detail polling agents took positions like guardians people democracy called people responded people responded ghana news agency gna responded click police station election materials kept click president elect gave victory speech gna present capturing moment gna,90
ghana news agency,state-owned (wire),Akufo-Addo calls for reconciliation after NPP’s 2024 election defeat,,https://gna.org.gh/2025/07/akufo-addo-calls-for-reconciliation-after-npps-2024-election-defeat/,"By Edward Acquah Accra, July 19, GNA – Former President Nana Addo Dankwa Akufo-Addo has rallied members of the New Patriotic Party (NPP) to “find ways to reconcile” after the Party’s heavy defeat in the 2024 General Election. Acknowledging that the path had not been easy for the NPP, he encouraged party members to remain proud in their progress, having won two successive elections in 2016 and 2020. In a speech read on his behalf by Akosua Frema Osei-Opare, the Chief of Staff under his regime, at the Party’s National Delegates Conference in Accra, President Akufo-Addo rallied the Party to prioritise unity. He said the NPP could rebuild and restore unity through dialogue, mutual understanding, and commitment. “Conference must reflect that ours is not just a political party but a family,” he said. President Akufo-Addo urged the Party to actively involve the youth in the rebuilding agenda and tap into their positive energies to restore the party on the path to recapture power. Over 5,500 delegates are attending the Conference in Accra to vote on proposed amendments to the party’s constitution. The conference aims to deliberate on key reforms, including the potential abolition of the Special Electoral College system used to elect the party’s presidential candidate. Other proposals include restructuring Constituency and Regional Executive Committees and establishing Electoral Area Committees to strengthen the party’s grassroots. The event, on the theme: “Rebuilding Together with our Values,” seeks to promote unity and harmony within the party and work together recapture power in 2028. GNA Edited by Samuel Osei-Frempong",256,2026-03-30 22:49:04.384858,edward acquah accra july gna former president nana addo dankwa akufo addo rallied members patriotic party npp find ways reconcile party heavy defeat general election acknowledging path easy npp encouraged party members remain proud progress successive elections speech read behalf akosua frema osei opare chief staff regime party national delegates conference accra president akufo addo rallied party prioritise unity npp rebuild restore unity dialogue mutual understanding commitment conference must reflect political party family president akufo addo urged party actively involve youth rebuilding agenda tap positive energies restore party path recapture power delegates attending conference accra vote proposed amendments party constitution conference aims deliberate key reforms including potential abolition special electoral college system used elect party presidential candidate proposals include restructuring constituency regional executive committees establishing electoral area committees strengthen party grassroots event theme rebuilding together values seeks promote unity harmony party work together recapture power gna edited samuel osei frempong,150
ghana news agency,state-owned (wire),EU Experts Praise Ghana’s 2024 Elections,,https://gna.org.gh/2025/05/eu-experts-praise-ghanas-2024-elections/,"Accra, May 21, GNA – The European Union (EU) Election Expert Mission has praised Ghana for the peaceful and credible conduct of its 2024 Presidential and Parliamentary elections, describing the overall electoral process and outcome as “positive” in its final report. Irchad Ramiandrasoa Razaaly, EU Ambassador to Ghana, presented the report to Mrs Jean Adukwei Mensa, Chairperson of the Electoral Commission (EC), on Tuesday evening in Accra. Quoting from the report, the result of two months’ work, Ambassador Razaaly said, “The presidential and parliamentary elections were competitive, well-conducted, with a generally peaceful and inclusive campaign.” “The election met most regional and international obligations for elections. Civil and political rights, including freedoms of association, assembly, movement and speech and right to vote, essential for inclusive, competitive elections, were provided,” he stated. Ambassador Razaaly commended the government and people of Ghana for deepening the country’s democratic credentials through peaceful polls, despite some challenges, and highlighted the EC’s openness and transparency as key to the success of the 2024 elections. “We have spoken with and met with a lot of your peers from other African countries, and I must say, the overall conduct of the election has been inspiring to a lot of African brothers,” he said. Ambassador Razaaly encouraged other African countries to learn from Ghana’s example of conducting peaceful, free, fair, and transparent elections and urged the EC to open its doors for knowledge and experience sharing. He described Ghana as a country where people freely expressed dissent, opinions, and assessments of the government. “Going to the Makola market, Korle-Bu, and Chorkor and most of the people we interact with say, we like this, and we don’t want to change this. We have our disagreement, we might be frustrated because of ABC, but this democracy, we want to save,” he said. Ambassador Razaaly also noted progress made on the EU’s 2020 recommendations, including the role of the National Commission for Civic Education (NCCE) and the absence of legal barriers to women’s participation. On areas for improvement, he recommended strengthening identity checks for new registrants, reviewing the guarantor system, regulating campaign financing and the use of public funds, and intensifying efforts to combat misinformation and disinformation. “The EC should continue efforts to further improve adherence to the procedures for ballot reconciliation and accurate and timely collation of results at the constituency and regional levels, building on the improvements noted for these elections,” he added. In response, Mrs. Mensa pledged the Commission’s commitment to using the report for the benefit of all Ghanaians. “We intend to use both the technical aspects, what has gone on well, and where we need to improve,” she said. She acknowledged that the report accurately reflected the realities on the ground and reaffirmed the EC’s dedication to daily improvements in Ghana’s electoral processes. Mrs. Mensa stressed the need to enhance public education and stakeholder engagement ahead of future elections to promote transparency and fairness. She called for a national dialogue to support legislation on campaign financing, improve electoral governance, and ensure effective use of public funds. Describing the EC’s collaboration with the EU Election Expert Mission as fruitful, she expressed optimism for an even stronger partnership in the 2028 elections. GNA Edited by Kenneth Sackey",537,2026-03-30 22:49:06.711807,accra gna european union election expert mission praised ghana peaceful credible conduct presidential parliamentary elections describing overall electoral process outcome positive final report irchad ramiandrasoa razaaly ambassador ghana presented report jean adukwei mensa chairperson electoral commission tuesday evening accra quoting report result months work ambassador razaaly presidential parliamentary elections competitive conducted generally peaceful inclusive campaign election met regional international obligations elections civil political rights including freedoms association assembly movement speech right vote essential inclusive competitive elections provided stated ambassador razaaly commended government people ghana deepening country democratic credentials peaceful polls despite challenges highlighted openness transparency key success elections spoken met lot peers african countries must say overall conduct election inspiring lot african brothers ambassador razaaly encouraged african countries learn ghana example conducting peaceful free fair transparent elections urged open doors knowledge experience sharing described ghana country people freely expressed dissent opinions assessments government going makola market korle chorkor people interact say like want change disagreement might frustrated abc democracy want save ambassador razaaly noted progress made recommendations including role national commission civic education ncce absence legal barriers women participation areas improvement recommended strengthening identity checks registrants reviewing guarantor system regulating campaign financing use public funds intensifying efforts combat misinformation disinformation continue efforts improve adherence procedures ballot reconciliation accurate timely collation results constituency regional levels building improvements noted elections response mensa pledged commission commitment using report benefit ghanaians intend use technical aspects gone need improve acknowledged report accurately reflected realities ground reaffirmed dedication daily improvements ghana electoral processes mensa stressed need enhance public education stakeholder engagement ahead future elections promote transparency fairness called national dialogue support legislation campaign financing improve electoral governance ensure effective use public funds describing collaboration election expert mission fruitful expressed optimism stronger partnership elections gna edited kenneth sackey,291
ghana news agency,state-owned (wire),EC assures temporary staff of payment of 2024 election allowance,,https://gna.org.gh/2025/04/ec-assures-temporary-staff-of-payment-of-2024-election-allowance/,"By Daniel Agbesi Latsu Kadjebi (O/R), April 03, GNA – The Electoral Commission (E.C) has assured temporary staff of the Commission that the allowance owed them for 2024 general election would be paid. “We assure you that we are working around the clock to secure funds from the Ministry of Finance”, a circular dated March 7, 2025, said. The circular, captioned “PAYMENT OF ALLOWANCES”, was addressed to “ALL TEMPORARY STAFF, ELECTORAL COMMISSION” and signed by Mrs. Jean Mensa, Chairperson, E.C. The letter, was sighted by the Ghana News Agency (GNA), said, “We sincerely apologize for the delay in paying your election related allowance. We feel your burden.” It added: “We will endeavor to make prompt payment to you as soon as funds are released by the Ministry.” Mrs. Mensa also commended the staff for their professional service to the Commission and the nation during the election, leading to the “peaceful, credible, glorious, transparent and timely election that we witnessed as a country.” “Ayekoo. May GOD remember your good works and bless you all,” the circular said. However, some of the temporary staff GNA spoke with expressed dissatisfaction about the four-month-long delay in payment and called for immediate release of the allowance. The staff, who wanted to remain anonymous, wondered why there was a delay in the payment of something that had been well planned and budgeted for. GNA MA/BM",229,2026-03-30 22:49:09.042675,daniel agbesi latsu kadjebi april gna electoral commission assured temporary staff commission allowance owed general election paid assure working around clock secure funds ministry finance circular dated march circular captioned payment allowances addressed temporary staff electoral commission signed jean mensa chairperson letter sighted ghana news agency gna sincerely apologize delay paying election related allowance feel burden endeavor make prompt payment soon funds released ministry mensa commended staff professional service commission nation election leading peaceful credible glorious transparent timely election witnessed country ayekoo god remember good works bless circular temporary staff gna spoke expressed dissatisfaction four month long delay payment called immediate release allowance staff wanted remain anonymous wondered delay payment something planned budgeted gna,114
ghana news agency,state-owned (wire),President directs IGP to investigate deaths of Ghanaiansduring 2020/2024 elections,,https://gna.org.gh/2025/01/president-directs-igp-to-investigate-deaths-of-ghanaiansduring-2020-2024-elections/,"By Iddi Yire Accra, Jan 10, GNA – President John Dramani Mahama has requested the office of the Inspector-General of Police (IGP) to initiate immediate investigations into the tragic deaths of Ghanaian citizens during the 2020/2024 general election. Dr Callistus Mahama, the Executive Secretary to the President, in a letter addressed to the IGP, said those incidents, which occurred in various parts of the country, had left a lasting scar on the nation’s democratic process. It was, thus, imperative that justice was served for the victims and their families, it said. To ensure the investigations were comprehensive and transparent, government proposed the stablishment of a Dedicated Investigative Taskforce within the CID to focus solely on those cases, ensuring undivided attention and efficient handling of the matter. The letter mentioned Collaboration with Witnesses and Families: Conduct thorough interviews with eyewitnesses, victims’ families, and other relevant individuals who may provide crucial information. Others are the Review of Electoral Security Arrangements to investigate the role and actions of security personnel deployed at the affected polling stations to determine their involvement or oversight. The rest are Use of Forensic Evidenceto analyze any physical evidence from the crime scenes, including bullet casings, weaponry, and other materials. Furthermore, Collaboration with Electoral and Civic Bodies to review reports from the 2020 and 2024 elections for additional context. To maintain public trust and ensure transparency, the letterrequested periodic updates on the progress of the investigation. “This would help to keep stakeholders informed and assure the public of your commitment to uncovering the truth.” “We are confident in the competence and professionalism of the Criminal Investigations Department and trust that your efforts will yield the necessary results to bring justice to the victims and their families while preserving the integrity of Ghana’s democratic process,” it said. “We assure you of the utmost support should you require any additional support or information from us.” GNA",315,2026-03-30 22:49:11.569293,iddi yire accra jan gna president john dramani mahama requested office inspector general police igp initiate immediate investigations tragic deaths ghanaian citizens general election callistus mahama executive secretary president letter addressed igp incidents occurred various parts country left lasting scar nation democratic process thus imperative justice served victims families ensure investigations comprehensive transparent government proposed stablishment dedicated investigative taskforce cid focus solely cases ensuring undivided attention efficient handling matter letter mentioned collaboration witnesses families conduct thorough interviews eyewitnesses victims families relevant individuals provide crucial information others review electoral security arrangements investigate role actions security personnel deployed affected polling stations determine involvement oversight rest use forensic evidenceto analyze any physical evidence crime scenes including bullet casings weaponry materials furthermore collaboration electoral civic bodies review reports elections additional context maintain public trust ensure transparency letterrequested periodic updates progress investigation help keep stakeholders informed assure public commitment uncovering truth confident competence professionalism criminal investigations department trust efforts yield necessary results bring justice victims families preserving integrity ghana democratic process assure utmost support require any additional support information gna,175
ghana news agency,state-owned (wire),NPP announces Election Review Committee to review performance in 2024 elections,,https://gna.org.gh/2025/01/npp-announces-election-review-committee-to-review-performance-in-2024-elections/,"By Godwill Arthur-Mensah Accra, Jan.03, GNA – A 12-member Election Review Committee has been constituted by the National Council of the New Patriotic Party (NPP) to review its performance in the 2024 Presidential and Parliamentary elections. The Committee, chaired by former Speaker of Parliament Professor Mike Aaron Oquaye, has three months to work and make appropriate recommendations to enable the Party to bounce back stronger in future elections. This was in a statement issued by Mr Justin Kodua Frimpong, the General-Secretary of the Party in Accra. The Committee is expected to engage all party stakeholders and the public and submit a comprehensive report to the Council within three months. The report would set the stage for the Party’s reflection, rebuilding, and restructuring efforts to bounce back stronger in future elections, the statement said. It implored all stakeholders, particularly party executives, and the members of the Party to cooperate with the Review Committee to ensure a success. Other members of the Committee were Prof. Yaa Nitamoah-Baidu, Prof. Kofi Osei Akuoko, Prof. Samuel Bert Boadi-Kusi, Dr Felix Yamoah, and Dr Joseph Agyapong Darmoe. The rest were Dr F. F Anto, Mr Kwaku Domfe, Madam Gifty Kusi, Abdulai Abanga, Seidu Nasigri and Mr William Yamoah. The NPP lost the 2024 presidential elections, with its flagbearer Dr Mahamudu Bawumia polling 41 per cent as against its main contender Mr John Dramani Mahama of the National Democratic Congress, who garnered 56 per cent of the total votes cast. In the parliamentary elections, the opposition NDC has, so far, swept more than 180 seats in Parliament with the ruling NPP winning less than 90 seats. GNA",270,2026-03-30 22:49:14.066056,godwill arthur mensah accra jan gna member election review committee constituted national council patriotic party npp review performance presidential parliamentary elections committee chaired former speaker parliament professor mike aaron oquaye three months work make appropriate recommendations enable party bounce back stronger future elections statement issued justin kodua frimpong general secretary party accra committee expected engage party stakeholders public submit comprehensive report council three months report set stage party reflection rebuilding restructuring efforts bounce back stronger future elections statement implored stakeholders particularly party executives members party cooperate review committee ensure success members committee prof yaa nitamoah baidu prof kofi osei akuoko prof samuel bert boadi kusi felix yamoah joseph agyapong darmoe rest anto kwaku domfe madam gifty kusi abdulai abanga seidu nasigri william yamoah npp lost presidential elections flagbearer mahamudu bawumia polling per cent main contender john dramani mahama national democratic congress garnered per cent total votes cast parliamentary elections opposition ndc far swept seats parliament ruling npp winning less seats gna,161
ghana news agency,state-owned (wire),Oti NPP Secretary calls for unity and renewal after 2024 election loss,,https://gna.org.gh/2025/01/oti-npp-secretary-calls-for-unity-and-renewal-after-2024-election-loss/,"By Nastain Ibn Saliu Kete-Krachi (O/R), Jan 2, GNA – Mr Jonathan Akpabe, the Oti Regional Secretary of the New Patriotic Party (NPP), has urged members of the party to remain united and focused following the party’s defeat in the 2024 general elections. Speaking to the Ghana News Agency (GNA), Mr. Akpabe acknowledged the disappointment felt by many NPP supporters but stressed the importance of resilience and a renewed commitment to the party’s future. “This year didn’t turn out as we had hoped. We aimed to break the ‘8,’ but the Ghanaian people have made their choice, and we must respect it. However, this is not the end of the journey for the NPP or for Ghana,” he stated. He called on party members to avoid despair, emphasising that setbacks in politics are common. “In every election, there’s a possibility of winning or losing. This time, we lost. But it is important to remember that we have not lost our vision for Ghana. We remain committed to building a better future,” he said. Mr. Akpabe revealed that the party would undertake a thorough review of its strategies to address weaknesses and come back stronger. “We will regroup, re-strategize, and plan effectively to reclaim our position. Our focus is on working harder and smarter to earn the trust of Ghanaians once again,” he assured. He also expressed hope that the incoming government will continue policies initiated by the NPP, including the Free Senior High School programme and allowances for teachers and nurses. “These initiatives have had a significant impact on the lives of Ghanaians, and we hope they are sustained,” he noted. Despite the pain of the loss, Mr. Akpabe urged members to see this moment as an opportunity for growth and renewal. “This is a time for reflection and unity. Let us rebuild together and emerge stronger as a party,” he emphasised. In a message of goodwill, he wished all NPP members and the people of the Oti Region a joyful Christmas and a prosperous New Year, expressing optimism for the party’s future. GNA",344,2026-03-30 22:49:16.404564,nastain ibn saliu kete krachi jan gna jonathan akpabe oti regional secretary patriotic party npp urged members party remain united focused following party defeat general elections speaking ghana news agency gna akpabe acknowledged disappointment felt npp supporters stressed importance resilience renewed commitment party future turn hoped aimed break ghanaian people made choice must respect end journey npp ghana stated called party members avoid despair emphasising setbacks politics common election possibility winning losing time lost important remember lost vision ghana remain committed building better future akpabe revealed party undertake thorough review strategies address weaknesses come back stronger regroup strategize plan effectively reclaim position focus working harder smarter earn trust ghanaians assured expressed hope incoming government continue policies initiated npp including free senior high school programme allowances teachers nurses initiatives significant impact lives ghanaians hope sustained noted despite pain loss akpabe urged members see moment opportunity growth renewal time reflection unity let rebuild together emerge stronger party emphasised message goodwill wished npp members people oti region joyful christmas prosperous expressing optimism party future gna,172
ghana news agency,state-owned (wire),Minority leader hails NDC’s victory in 2024 elections,,https://gna.org.gh/2024/12/minority-leader-hails-ndcs-victory-in-2024-elections/,"By Elsie Appiah-Osei Accra, Dec 16, GNA – Dr Cassiel Ato Baah Forson, the Minority Leader, Monday said the outcome of the December 7 elections was a revolution and a revolt against the New Patriotic Party (NPP) alleged poor governance, economic mismanagement, and corruption. As a result, he had thanked the people of Ghana for electing Mr John Dramani Mahama as the next President of the Republic of Ghana. In his remarks at the commencement of the Seventh Meeting of the Fourth Session of the Eighth Parliament of the Fourth Republic, in Accra at the Grand Arena of the Accra International Conference Center, Dr Forson congratulated his colleagues who were re-elected in the just-ended Parliamentary elections. He also acknowledged the arduous work of the 137 National Democratic Congress (NDC) Members of Parliament (MP) which resulted in an unprecedented number of MPs-elect for the NDC. “…Mr Speaker, the NDC snatched over 50 parliamentary seats from the ruling New Patriotic Party (NPP),” he said. Dr Forson, who is also the NDC MP for Ajumako/Enyan/Essiam, described the Ninth Parliament as unique and interesting, characterising it as a contest of ideas between “a super NDC Majority and an NPP mini-micro-Minority,” he said. GNA",199,2026-03-30 22:49:18.739600,elsie appiah osei accra dec gna cassiel ato baah forson minority leader monday outcome december elections revolution revolt patriotic party npp alleged poor governance economic mismanagement corruption result thanked people ghana electing john dramani mahama next president republic ghana remarks commencement seventh meeting fourth session eighth parliament fourth republic accra grand arena accra international conference center forson congratulated colleagues elected ended parliamentary elections acknowledged arduous work national democratic congress ndc members parliament resulted unprecedented number mps elect ndc speaker ndc snatched parliamentary seats ruling patriotic party npp forson ndc ajumako enyan essiam described ninth parliament unique interesting characterising contest ideas super ndc majority npp mini micro minority gna,108
ghana news agency,state-owned (wire),Our 2024 election victory is a new chapter for Ghana – Keta MP elect,,https://gna.org.gh/2024/12/our-2024-election-victory-is-a-new-chapter-for-ghana-keta-mp-elect/,"By Evans Worlanyo Ameamu Keta (VR), Dec 14, GNA – Mr Kwame Dzudzorli Gakpey, the Member of Parliament (MP) elect for Keta constituency in the Volta Region, has described the victory of the National Democratic Congress (NDC) in the December 7 general elections as a new chapter for the nation’s development. According to him, the NDC was poised to open a new chapter of development in the areas of education, infrastructure, health, sports, agriculture, economy and others for the benefit of Ghanaians. Mr Gakpey, who is the incumbent parliamentary candidate and won on the ticket of the NDC, in an interview with the Ghana News Agency, said the party would deliver on the promises made to alleviate the hardship and suffering of Ghanaians. “The hardship in the country is becoming unbearable and we the NDC are here to deliver on our promises made during the campaign to bring back hope and courage to the good people of Ghana,” he stated. Mr Gakpey told the GNA that the incoming NDC government led by Mr John Dramani Mahama would investigate all the alleged wrong doers and prosecute them accordingly when found culpable to set as example to others. He said that the majority of Ghanaians voted massively for the NDC to return to power so it could retrieve all lost items and reset the country for the best. Mr Gakpey said that post-election investigations made by the party indicated that the low turnout experienced during the elections was due to the bad governance by the New Patriotic Party (NPP) administration whilst many were tired and no more interested in exercising their franchise. He said the NDC has plans to roll out many other social interventions for the Keta constituency and the country at large to improve the living conditions of the people to keep NPP in opposition for many years. He urged all Ghanaians to continue to support the NDC government to deliver the campaign promises in order to impact positively and improve the life of many. GNA",336,2026-03-30 22:49:21.078960,evans worlanyo ameamu keta dec gna kwame dzudzorli gakpey member parliament elect keta constituency volta region described victory national democratic congress ndc december general elections chapter nation development ndc poised open chapter development areas education infrastructure health sports agriculture economy others benefit ghanaians gakpey incumbent parliamentary candidate ticket ndc interview ghana news agency party deliver promises made alleviate hardship suffering ghanaians hardship country becoming unbearable ndc deliver promises made campaign bring back hope courage good people ghana stated gakpey gna incoming ndc government led john dramani mahama investigate alleged wrong doers prosecute accordingly found culpable set example others majority ghanaians voted massively ndc return power retrieve lost items reset country best gakpey post election investigations made party indicated low turnout experienced elections due bad governance patriotic party npp administration whilst tired interested exercising franchise ndc plans roll social interventions keta constituency country large improve living conditions people keep npp opposition years urged ghanaians continue support ndc government deliver campaign promises order impact positively improve life gna,166
